TreeID,SpeciesID,Latitude,Longitude,Elevation
PGM1,PIPO,35.723976,-106.79524,2282.11499
PGM10,PIPO,35.725781,-106.798958,2298.150635
PGM11,JUSC,35.725815,-106.799201,2300.069824
PGM12,PIPO,35.726528,-106.79993,2300.006348
PGM13,QUGA,35.725956,-106.800621,2318.192871
PGM14,QUGA,35.725956,-106.800621,2318.192871
PGM15,PIPO,35.725025,-106.800798,2332.320312
PGM16,QUGA,35.724777,-106.80155,2342.432129
PGM17,QUGA,35.724777,-106.80155,2342.432129
PGM18,QUGA,35.724777,-106.80155,2342.432129
PGM19,QUGA,35.723732,-106.800657,2343.048096
PGM2,PSME,35.72395,-106.795352,2288.078125
PGM20,QUGA,35.723732,-106.800657,2343.048096
PGM21,QUGA,35.72445,-106.799085,2316.615967
PGM22,QUGA,35.72445,-106.799085,2316.615967
PGM23,PIPO,35.721682,-106.798423,2334.536377
PGM24,JUSC,35.721489,-106.798024,2332.156982
PGM25,PIPO,35.721733,-106.797788,2328.45459
PGM26,QUGA,35.721606,-106.798017,2332.539307
PGM27,QUGA,35.723119,-106.797994,2327.680908
PGM28,QUGA,35.723119,-106.797994,2327.680908
PGM29,QUGA,35.723601,-106.796104,2302.263184
PGM3,QUGA,35.723944,-106.79534,2288.312744
PGM30,QUGA,35.723601,-106.796104,2302.263184
PGM31,JUSC,35.721515,-106.79214,2248.833252
PGM32,PIPO,35.721412,-106.792163,2262.830322
PGM33,QUGA,35.72158,-106.794063,2279.464111
PGM34,QUGA,35.72158,-106.794063,2279.464111
PGM35,PSME,35.721225,-106.794511,2289.895752
PGM36,PIED,35.72117,-106.794529,2290.043945
PGM37,QUGA,35.72102,-106.794829,2296.327148
PGM38,QUGA,35.72102,-106.794829,2296.327148
PGM39,PIPO,35.721229,-106.796412,2311.219482
PGM4,QUGA,35.723993,-106.795422,2288.520264
PGM40,PIPO,35.722477,-106.796107,2298.864746
PGM41,PIPO,35.722473,-106.796083,2299.713379
PGM42,QUGA,35.722677,-106.796033,2297.010498
PGM43,QUGA,35.722677,-106.796033,2297.010498
PGM44,QUGA,35.722831,-106.794998,2280.291016
PGM45,QUGA,35.722831,-106.794998,2280.291016
PGM5,PIPO,35.723982,-106.795458,2288.864746
PGM6,PIPO,35.72417,-106.795475,2286.700439
PGM7,PIPO,35.723762,-106.795148,2289.906982
PGM8,PIPO,35.7239,-106.795259,2288.654541
PGM9,QUGA,35.724234,-106.795521,2286.273682
